Référence,Date,Client,Adresse,Matricule,Total HT,TVA (19%),Timbre,Total TTC,Fichier PDF
FAC-2025-0001,2025-04-29,Client Test,"123 Rue Exemple, Tunis",MF12345678,3105.000,589.950,1.000,3695.950,Invoice Generator/factures/FAC-2025-0001.pdf
FAC-2025-0002,2025-04-29,Client Test,"123 Rue Exemple, Tunis",MF12345678,3105.000,589.950,1.000,3695.950,Invoice Generator/factures/FAC-2025-0002.pdf
FAC-20250430-131924,2025-04-30,,,,93.000,17.670,1.000,111.670,FAC-20250430-131924.pdf
FAC-20250502-175828,2025-05-02,XYZ,,,2050.000,389.500,1.000,2440.500,FAC-20250502-175828.pdf
FAC-20250502-180434,2025-05-02,NassimSociety,173649/Z,cité olympique,4100.000,779.000,1.000,4880.000,FAC-20250502-180434.pdf
FAC-20250502-181451,2025-05-02,rayen,5673883/A,,1467.000,278.730,1.000,1746.730,FAC-20250502-181451.pdf
FAC-20250502-182518,2025-05-02,RayenVoyages,76939393/A,CURiana 35,3000.000,570.000,1.000,3571.000,FAC-20250502-182518.pdf
FAC-20250502-190539,2025-05-02,hammadi,156789/H,Cité olymoique rades 12,7200.000,1368.000,1.000,8569.000,FAC-20250502-190539.pdf
FAC-20250502-192056,2025-05-02,hammadi,hay jam3i haha,156789/H,7200.000,1368.000,1.000,8569.000,FAC-20250502-192056.pdf
FAC-20250502-194032,2025-05-02,XYZ,jara,8191911/P,2050.000,389.500,1.000,2440.500,FAC-20250502-194032.pdf
FAC-20250502-194633,2025-05-02,ANASOUIH,Cchara 879,15262622/0,15.000,2.850,1.000,18.850,FAC-20250502-194633.pdf
FAC-20250502-194929,2025-05-02,hammadi,hay jam3i,717717171,630.000,119.700,1.000,750.700,FAC-20250502-194929.pdf
FAC-20250504-174513,2025-05-04,IsmailServices,Ariana 88,42255252H,600.000,114.000,1.000,715.000,FAC-20250504-174513.pdf
FAC-20250504-180023,2025-05-04,Mohamed Rachel,CUN 678,242440/K,789.000,149.910,1.000,939.910,FAC-20250504-180023.pdf
FAC-20250513-202505,2025-05-13,Vistheon Corporation,Adresse non spécifiée,Matricule fiscal non spécifié,3000.000,570.000,1.000,3571.000,FAC-20250513-202505.pdf
FAC-20250513-203300,2025-05-13,Visteon,"borj cedreya é""(§è!!",5363637/M,3000.000,570.000,1.000,3571.000,FAC-20250513-203300.pdf
FAC-20250610-112506,2025-06-10,Samsung,cite olyumpiz 908,12380/Z,8000.000,1520.000,1.000,9521.000,FAC-20250610-112506.pdf
FAC-20250610-113654,2025-06-10,Ryan Voyage,cité olympique Menzah 6009,45790/B,4000.000,760.000,1.000,4761.000,FAC-20250610-113654.pdf
FAC-20250610-115147,2025-06-10,Ryan Voyage,Cite Olympique 907,24537/M,2200.000,418.000,1.000,2619.000,FAC-20250610-115147.pdf
